COU,Country,Variable,Year,Foreign_%_Value
AUS,Australia,% of foreign-trained doctors,2007,23.635
AUS,Australia,% of foreign-trained doctors,2008,23.937
AUS,Australia,% of foreign-trained doctors,2009,25.823
AUS,Australia,% of foreign-trained doctors,2012,33.076
AUS,Australia,% of foreign-trained doctors,2013,29.701
AUS,Australia,% of foreign-trained doctors,2014,31.734
AUS,Australia,% of foreign-trained doctors,2015,32.349
AUS,Australia,% of foreign-trained doctors,2016,32.678
AUS,Australia,% of foreign-trained doctors,2017,32.074
AUS,Australia,% of foreign-trained doctors,2018,32.46
AUS,Australia,% of foreign-trained doctors,2019,32.543
AUS,Australia,% of foreign-trained doctors,2020,32.3
AUS,Australia,% of foreign-trained doctors,2021,32.19
AUT,Austria,% of foreign-trained doctors,2005,2.94
AUT,Austria,% of foreign-trained doctors,2006,3.04
AUT,Austria,% of foreign-trained doctors,2007,3.48
AUT,Austria,% of foreign-trained doctors,2008,3.5
AUT,Austria,% of foreign-trained doctors,2009,3.64
AUT,Austria,% of foreign-trained doctors,2010,3.9
AUT,Austria,% of foreign-trained doctors,2011,4.08
AUT,Austria,% of foreign-trained doctors,2012,4.35
AUT,Austria,% of foreign-trained doctors,2013,4.57
AUT,Austria,% of foreign-trained doctors,2014,5.06
AUT,Austria,% of foreign-trained doctors,2015,5.14
AUT,Austria,% of foreign-trained doctors,2016,5.47
AUT,Austria,% of foreign-trained doctors,2017,5.77
AUT,Austria,% of foreign-trained doctors,2018,5.97
AUT,Austria,% of foreign-trained doctors,2019,6.37
AUT,Austria,% of foreign-trained doctors,2020,6.54
AUT,Austria,% of foreign-trained doctors,2021,6.82
AUT,Austria,% of foreign-trained doctors,2022,7.16
BEL,Belgium,% of foreign-trained doctors,2000,4.36
BEL,Belgium,% of foreign-trained doctors,2001,4.49
BEL,Belgium,% of foreign-trained doctors,2002,4.56
BEL,Belgium,% of foreign-trained doctors,2003,4.65
BEL,Belgium,% of foreign-trained doctors,2004,4.74
BEL,Belgium,% of foreign-trained doctors,2005,4.98
BEL,Belgium,% of foreign-trained doctors,2006,5.3
BEL,Belgium,% of foreign-trained doctors,2007,6.02
BEL,Belgium,% of foreign-trained doctors,2008,6.79
BEL,Belgium,% of foreign-trained doctors,2009,7.43
BEL,Belgium,% of foreign-trained doctors,2010,8.2
BEL,Belgium,% of foreign-trained doctors,2011,9.18
BEL,Belgium,% of foreign-trained doctors,2012,10.13
BEL,Belgium,% of foreign-trained doctors,2013,10.73
BEL,Belgium,% of foreign-trained doctors,2014,11.4
BEL,Belgium,% of foreign-trained doctors,2015,11.46
BEL,Belgium,% of foreign-trained doctors,2016,11.91
BEL,Belgium,% of foreign-trained doctors,2017,12.26
BEL,Belgium,% of foreign-trained doctors,2018,12.11
BEL,Belgium,% of foreign-trained doctors,2019,12.42
BEL,Belgium,% of foreign-trained doctors,2020,12.7
BEL,Belgium,% of foreign-trained doctors,2021,13.22
BEL,Belgium,% of foreign-trained doctors,2022,13.51
CAN,Canada,% of foreign-trained doctors,2000,21.27
CAN,Canada,% of foreign-trained doctors,2001,21.26
CAN,Canada,% of foreign-trained doctors,2002,21.406
CAN,Canada,% of foreign-trained doctors,2003,21.315
CAN,Canada,% of foreign-trained doctors,2004,21.343
CAN,Canada,% of foreign-trained doctors,2005,21.534
CAN,Canada,% of foreign-trained doctors,2006,21.562
CAN,Canada,% of foreign-trained doctors,2007,21.976
CAN,Canada,% of foreign-trained doctors,2008,22.478
CAN,Canada,% of foreign-trained doctors,2009,22.988
CAN,Canada,% of foreign-trained doctors,2010,23.197
CAN,Canada,% of foreign-trained doctors,2011,23.619
CAN,Canada,% of foreign-trained doctors,2012,23.811
CAN,Canada,% of foreign-trained doctors,2013,23.922
CAN,Canada,% of foreign-trained doctors,2014,24.092
CAN,Canada,% of foreign-trained doctors,2015,24.097
CAN,Canada,% of foreign-trained doctors,2016,24.311
CAN,Canada,% of foreign-trained doctors,2017,24.701
CAN,Canada,% of foreign-trained doctors,2018,24.598
CAN,Canada,% of foreign-trained doctors,2019,24.418
CAN,Canada,% of foreign-trained doctors,2020,24.085
CAN,Canada,% of foreign-trained doctors,2021,24.035
CZE,Czechia,% of foreign-trained doctors,2000,1.32
CZE,Czechia,% of foreign-trained doctors,2001,1.49
CZE,Czechia,% of foreign-trained doctors,2002,1.99
CZE,Czechia,% of foreign-trained doctors,2003,2.79
CZE,Czechia,% of foreign-trained doctors,2004,3.32
CZE,Czechia,% of foreign-trained doctors,2005,3.75
CZE,Czechia,% of foreign-trained doctors,2006,3.96
CZE,Czechia,% of foreign-trained doctors,2007,4.13
CZE,Czechia,% of foreign-trained doctors,2008,4.2
CZE,Czechia,% of foreign-trained doctors,2009,4.29
CZE,Czechia,% of foreign-trained doctors,2010,4.4
CZE,Czechia,% of foreign-trained doctors,2011,4.71
CZE,Czechia,% of foreign-trained doctors,2012,5.09
CZE,Czechia,% of foreign-trained doctors,2013,4.66
CZE,Czechia,% of foreign-trained doctors,2014,4.89
CZE,Czechia,% of foreign-trained doctors,2015,6.1
CZE,Czechia,% of foreign-trained doctors,2016,6.56
CZE,Czechia,% of foreign-trained doctors,2017,7.07
CZE,Czechia,% of foreign-trained doctors,2018,7.35
CZE,Czechia,% of foreign-trained doctors,2019,7.38
CZE,Czechia,% of foreign-trained doctors,2020,7.48
CZE,Czechia,% of foreign-trained doctors,2021,7.59
CZE,Czechia,% of foreign-trained doctors,2022,7.89
DNK,Denmark,% of foreign-trained doctors,2000,3.83
DNK,Denmark,% of foreign-trained doctors,2001,3.89
DNK,Denmark,% of foreign-trained doctors,2002,4.51
DNK,Denmark,% of foreign-trained doctors,2003,4.99
DNK,Denmark,% of foreign-trained doctors,2004,5.7
DNK,Denmark,% of foreign-trained doctors,2005,6.47
DNK,Denmark,% of foreign-trained doctors,2006,6.95
DNK,Denmark,% of foreign-trained doctors,2007,7.4
DNK,Denmark,% of foreign-trained doctors,2008,7.86
DNK,Denmark,% of foreign-trained doctors,2009,8.36
DNK,Denmark,% of foreign-trained doctors,2010,8.75
DNK,Denmark,% of foreign-trained doctors,2011,8.8
DNK,Denmark,% of foreign-trained doctors,2012,8.72
