country,value
Australia,77968.6
Austria,43580.5
Belgium,40259.8
Canada,60317.5
Czechia,509012.0
Denmark,388929.6
Finland,42328.2
France,35190.1
Germany,40593.7
Greece,16729.7
Hungary,4438282.0
Iceland,8063185.2
Ireland,67107.1
Italy,29317.1
Japan,4402215.3
Korea,36797333.8
Luxembourg,98891.6
Mexico,187702.9
Netherlands,44916.7
New Zealand,62488.5
Norway,673312.8
Poland,55997.9
Portugal,19952.1
Slovak Republic,16500.5
Spain,25724.7
Sweden,474516.4
Switzerland,83332.6
Türkiye,46172.5
United Kingdom,32473.7
United States,62823.3
Brazil,33593.8
Chile,10102435.9
China (People's Republic of),64872.0
Estonia,19616.2
India,137961.4
Israel,152264.9
Russia,707357.1
Slovenia,22120.9
South Africa,92739.9
Latvia,15127.6
Lithuania,16246.4
Costa Rica,7198046.3
Bulgaria,15653.2
Croatia,12694.8
Romania,49248.2
