country,value
Afghanistan,336.0
Albania,1161.0
Algeria,6315.0
Andorra,1.0
Angola,4.0
Antigua and Barbuda,93.0
Argentina,1636.0
Armenia,478.0
Australia,2111.0
Austria,4843.0
Azerbaijan,1131.0
Bahrain,231.0
Bangladesh,2428.0
Barbados,83.0
Belarus,1711.0
Belgium,3951.0
Belize,21.0
Benin,166.0
Bhutan,2.0
Bolivia,641.0
Bosnia and Herzegovina,878.0
Botswana,3.0
Brazil,1037.0
Brunei Darussalam,2.0
Bulgaria,5525.0
Burkina Faso,42.0
Burundi,93.0
Cambodia,40.0
Cameroon,345.0
Canada,446.0
Central African Republic,21.0
Chad,1.0
Chile,200.0
China,2080.0
Chinese Taipei,85.0
Colombia,3464.0
Comoros,1.0
Congo,187.0
Costa Rica,51.0
Croatia,1297.0
Cuba,1059.0
Cyprus,425.0
Czechia,3388.0
Côte d'Ivoire,185.0
Democratic People's Republic of Korea,34.0
Democratic Republic of the Congo,287.0
Denmark,1426.0
Djibouti,4.0
Dominica,172.0
Dominican Republic,191.0
Ecuador,2620.0
Egypt,8322.0
El Salvador,61.0
Eritrea,6.0
Estonia,1868.0
Ethiopia,118.0
Fiji,70.0
Finland,160.0
France,4357.0
Gabon,49.0
Gambia,6.0
Georgia,631.0
Germany,15971.0
Ghana,423.0
Greece,4982.0
Grenada,695.0
Guatemala,80.0
Guinea,121.0
Guinea-Bissau,1.0
Guyana,46.0
Haiti,172.0
Honduras,196.0
Hungary,6536.0
Iceland,133.0
India,28882.0
Indonesia,417.0
Iran,2648.0
Iraq,2978.0
Ireland,5859.0
Israel,580.0
Italy,12910.0
Jamaica,199.0
Japan,114.0
Jordan,2001.0
Kazakhstan,402.0
Kenya,174.0
Kuwait,54.0
Kyrgyzstan,115.0
Lao People's Democratic Republic,3.0
Latvia,1126.0
Lebanon,998.0
Lesotho,1.0
Liberia,7.0
Libya,1928.0
Liechtenstein,4.0
Lithuania,1403.0
Luxembourg,340.0
Madagascar,601.0
Malawi,41.0
Malaysia,744.0
Maldives,6.0
Mali,148.0
Malta,420.0
Mauritania,2.0
Mauritius,128.0
Mexico,820.0
Monaco,4.0
Mongolia,114.0
Montenegro,49.0
Morocco,1814.0
Mozambique,6.0
Myanmar,927.0
Namibia,2.0
Nepal,571.0
Netherlands,3782.0
New Zealand,2437.0
Nicaragua,41.0
Niger,29.0
Nigeria,6270.0
North Macedonia,682.0
Norway,143.0
Oman,89.0
Others (not elsewhere classified),14828.0
Pakistan,13210.0
Panama,26.0
Papua New Guinea,8.0
Paraguay,138.0
Peru,515.0
Philippines,1203.0
Poland,7563.0
Portugal,815.0
Qatar,5.0
Republic of Korea,142.0
Republic of Moldova,1222.0
Romania,21895.0
Russian Federation,11815.0
Rwanda,30.0
Saint Kitts and Nevis,315.0
Saint Lucia,46.0
Saint Vincent and the Grenadines,35.0
Samoa,3.0
Saudi Arabia,784.0
Senegal,166.0
Serbia,3009.0
Seychelles,1.0
Sierra Leone,31.0
Singapore,93.0
Slovak Republic,5297.0
Slovenia,224.0
Somalia,17.0
South Africa,7533.0
Spain,3479.0
Sri Lanka,3536.0
Sudan,3450.0
Suriname,49.0
Swaziland,1.0
Sweden,1529.0
Switzerland,683.0
Syria,7202.0
Tajikistan,95.0
Thailand,27.0
Togo,213.0
Trinidad and Tobago,49.0
Tunisia,2321.0
Turkey,1973.0
Turkmenistan,30.0
Uganda,147.0
Ukraine,7514.0
United Arab Emirates,293.0
United Kingdom,13735.0
United Republic of Tanzania,76.0
United States of America,3015.0
Uruguay,316.0
Uzbekistan,267.0
Venezuela,6026.0
Viet Nam,290.0
Yemen,404.0
Zambia,85.0
Zimbabwe,502.0
