COU,Country,Variable,Year,Foreign_%_Value
CHL,Chile,% of foreign-trained doctors,2018,22.74
CHL,Chile,% of foreign-trained doctors,2019,20.82
CHL,Chile,% of foreign-trained doctors,2020,22.97
CHL,Chile,% of foreign-trained doctors,2021,23.39
COL,Colombia,% of foreign-trained doctors,2018,5.5
COL,Colombia,% of foreign-trained doctors,2019,5.42
COL,Colombia,% of foreign-trained doctors,2020,5.46
COL,Colombia,% of foreign-trained doctors,2021,5.53
EST,Estonia,% of foreign-trained doctors,2018,3.86
EST,Estonia,% of foreign-trained doctors,2019,3.94
EST,Estonia,% of foreign-trained doctors,2020,4.06
EST,Estonia,% of foreign-trained doctors,2021,4.16
HUN,Hungary,% of foreign-trained doctors,2018,8.09
HUN,Hungary,% of foreign-trained doctors,2019,8.205
HUN,Hungary,% of foreign-trained doctors,2020,8.18
HUN,Hungary,% of foreign-trained doctors,2021,8.187
IRL,Ireland,% of foreign-trained doctors,2018,41.64
IRL,Ireland,% of foreign-trained doctors,2019,41.35
IRL,Ireland,% of foreign-trained doctors,2020,40.19
IRL,Ireland,% of foreign-trained doctors,2021,40.45
LUX,Luxembourg,% of foreign-trained doctors,2018,100
LUX,Luxembourg,% of foreign-trained doctors,2019,100
LUX,Luxembourg,% of foreign-trained doctors,2020,100
LUX,Luxembourg,% of foreign-trained doctors,2021,100
NZL,New Zealand,% of foreign-trained doctors,2018,42.46
NZL,New Zealand,% of foreign-trained doctors,2019,42.59
NZL,New Zealand,% of foreign-trained doctors,2020,42.39
NZL,New Zealand,% of foreign-trained doctors,2021,42.12
POL,Poland,% of foreign-trained doctors,2018,1.94
POL,Poland,% of foreign-trained doctors,2019,2.09
POL,Poland,% of foreign-trained doctors,2020,2.23
POL,Poland,% of foreign-trained doctors,2021,2.69
SVN,Slovenia,% of foreign-trained doctors,2019,16.457
SVN,Slovenia,% of foreign-trained doctors,2020,16.045
SVN,Slovenia,% of foreign-trained doctors,2021,15.809
SWE,Sweden,% of foreign-trained doctors,2018,28.793
SWE,Sweden,% of foreign-trained doctors,2019,29.436
SWE,Sweden,% of foreign-trained doctors,2020,30.215
GBR,United Kingdom,% of foreign-trained doctors,2018,29.23
GBR,United Kingdom,% of foreign-trained doctors,2019,30.34
GBR,United Kingdom,% of foreign-trained doctors,2020,30.76
