VAR,Variable,Measure,COU,Country,Year,Health_Performance_Value
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,ARG,Argentina,2018,100853
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,ARG,Argentina,2019,99429
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,ARG,Argentina,2020,119235
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,AUS,Australia,2018,36982
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,AUS,Australia,2019,38993
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,AUS,Australia,2020,36702
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,AUS,Australia,2021,37405
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,AUT,Austria,2018,17832
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,AUT,Austria,2019,17547
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,AUT,Austria,2020,18707
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,AUT,Austria,2021,19884
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,BEL,Belgium,2018,21861
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,BRA,Brazil,2018,571660
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,BRA,Brazil,2019,570350
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,BRA,Brazil,2020,690152
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,BGR,Bulgaria,2018,29606
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,BGR,Bulgaria,2019,30132
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,BGR,Bulgaria,2020,38191
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,CAN,Canada,2018,70388
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,CAN,Canada,2019,70539
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,CHL,Chile,2018,33182
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,CHL,Chile,2019,34509
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,CHL,Chile,2020,42726
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,COL,Colombia,2018,99098
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,COL,Colombia,2019,99977
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,COL,Colombia,2020,131982
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,CRI,Costa Rica,2018,9103
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,CRI,Costa Rica,2019,9441
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,CRI,Costa Rica,2020,10227
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,HRV,Croatia,2019,14290
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,HRV,Croatia,2020,15996
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,CZE,Czechia,2018,32994
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,CZE,Czechia,2019,32055
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,CZE,Czechia,2020,35627
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,CZE,Czechia,2021,42826
AVDMAVOI,Avoidable mortality (preventable+treatable),Number of total deaths,DNK,Denmark,2018,11989
