COU,Country,Year,Value
CHL,Chile,2012,69.66666666666667
CHL,Chile,2013,61.43333333333334
CHL,Chile,2014,73.25
CHL,Chile,2015,65.56666666666666
CHL,Chile,2016,72.86666666666666
CHL,Chile,2017,69.0
CHL,Chile,2018,62.0
CHL,Chile,2019,67.75
CHL,Chile,2020,85.25
CHL,Chile,2021,88.25
CHL,Chile,2022,76.0
CRI,Costa Rica,2019,75.08333333333333
CRI,Costa Rica,2020,88.18333333333334
CRI,Costa Rica,2021,83.0
CRI,Costa Rica,2022,78.45
ESP,Spain,2003,32.766666666666666
ESP,Spain,2004,36.1
ESP,Spain,2005,33.9
ESP,Spain,2006,34.733333333333334
ESP,Spain,2007,31.266666666666666
ESP,Spain,2008,27.799999999999997
ESP,Spain,2009,28.8
ESP,Spain,2010,26.46666666666667
ESP,Spain,2011,30.866666666666664
ESP,Spain,2012,36.67142857142857
ESP,Spain,2013,34.042857142857144
ESP,Spain,2014,32.457142857142856
ESP,Spain,2015,31.428571428571427
ESP,Spain,2016,28.37142857142857
ESP,Spain,2017,29.24285714285714
ESP,Spain,2018,29.53333333333333
ESP,Spain,2019,31.985714285714288
ESP,Spain,2020,53.57142857142857
ESP,Spain,2021,37.4
ESP,Spain,2022,40.56666666666666
EST,Estonia,2006,81.93333333333334
EST,Estonia,2007,85.26666666666667
EST,Estonia,2008,87.0
EST,Estonia,2009,86.10000000000001
EST,Estonia,2010,86.2
EST,Estonia,2011,86.46666666666665
EST,Estonia,2012,86.60000000000001
EST,Estonia,2013,89.16666666666667
EST,Estonia,2014,88.86666666666667
EST,Estonia,2015,88.2
EST,Estonia,2016,87.96666666666665
EST,Estonia,2017,89.53333333333335
EST,Estonia,2018,89.73333333333333
EST,Estonia,2019,89.53333333333335
EST,Estonia,2020,93.46666666666665
GBR,United Kingdom,2011,28.02857142857143
GBR,United Kingdom,2012,27.957142857142856
GBR,United Kingdom,2013,28.485714285714288
GBR,United Kingdom,2014,27.642857142857142
GBR,United Kingdom,2015,27.599999999999998
GBR,United Kingdom,2016,30.32857142857143
GBR,United Kingdom,2017,31.17142857142857
GBR,United Kingdom,2018,32.128571428571426
GBR,United Kingdom,2019,33.15714285714286
GBR,United Kingdom,2020,39.885714285714286
HRV,Croatia,2022,62.4
HUN,Hungary,2013,36.214285714285715
HUN,Hungary,2014,36.34285714285714
HUN,Hungary,2015,30.657142857142855
HUN,Hungary,2016,28.114285714285717
HUN,Hungary,2017,26.75714285714286
HUN,Hungary,2018,26.099999999999998
HUN,Hungary,2019,24.87142857142857
HUN,Hungary,2020,43.92857142857143
HUN,Hungary,2021,43.34285714285714
HUN,Hungary,2022,35.41428571428572
IRL,Ireland,2007,51.63333333333333
IRL,Ireland,2008,55.18333333333334
IRL,Ireland,2009,48.800000000000004
IRL,Ireland,2010,50.871428571428574
IRL,Ireland,2011,48.385714285714286
IRL,Ireland,2012,52.642857142857146
IRL,Ireland,2013,56.75714285714286
IRL,Ireland,2014,62.0
IRL,Ireland,2015,62.457142857142856
IRL,Ireland,2016,63.871428571428574
IRL,Ireland,2017,64.48571428571428
IRL,Ireland,2018,58.1
IRL,Ireland,2019,55.17142857142857
IRL,Ireland,2020,83.54285714285713
IRL,Ireland,2021,59.51428571428572
IRL,Ireland,2022,56.857142857142854
ISL,Iceland,2012,58.17999999999999
ISL,Iceland,2013,66.47999999999999
ISL,Iceland,2014,67.47999999999999
ISL,Iceland,2015,71.8
ISL,Iceland,2016,63.6
ISL,Iceland,2017,58.0
ISL,Iceland,2018,46.0
ISL,Iceland,2019,48.239999999999995
ISL,Iceland,2020,51.8
ISL,Iceland,2021,59.4
ISL,Iceland,2022,63.2
NZL,New Zealand,2003,46.471428571428575
NZL,New Zealand,2004,45.385714285714286
NZL,New Zealand,2005,41.74285714285714
NZL,New Zealand,2006,40.57142857142857
NZL,New Zealand,2007,35.82857142857143
NZL,New Zealand,2008,34.24285714285715
NZL,New Zealand,2009,30.942857142857147
NZL,New Zealand,2010,31.25714285714286
NZL,New Zealand,2011,27.0
NZL,New Zealand,2012,20.428571428571427
NZL,New Zealand,2013,17.97142857142857
NZL,New Zealand,2014,8.171428571428573
NZL,New Zealand,2015,10.6
NZL,New Zealand,2016,11.9
NZL,New Zealand,2017,13.471428571428573
NZL,New Zealand,2018,20.557142857142857
NZL,New Zealand,2019,25.542857142857144
NZL,New Zealand,2020,28.87142857142857
NZL,New Zealand,2021,40.471428571428575
NZL,New Zealand,2022,50.214285714285715
POL,Poland,2012,68.25
POL,Poland,2013,68.0
POL,Poland,2014,68.5
POL,Poland,2015,69.5
POL,Poland,2016,69.0
POL,Poland,2017,67.75
POL,Poland,2018,66.25
POL,Poland,2019,66.75
POL,Poland,2020,76.0
POL,Poland,2021,60.25
PRT,Portugal,2006,68.75
PRT,Portugal,2007,61.06666666666666
PRT,Portugal,2008,53.88333333333333
PRT,Portugal,2009,49.18333333333334
PRT,Portugal,2010,47.53333333333333
PRT,Portugal,2011,52.28333333333333
PRT,Portugal,2012,48.71666666666667
PRT,Portugal,2013,48.0
PRT,Portugal,2014,51.68333333333334
PRT,Portugal,2015,51.46666666666667
PRT,Portugal,2016,51.833333333333336
PRT,Portugal,2017,55.01666666666667
PRT,Portugal,2018,56.86666666666667
PRT,Portugal,2019,57.18333333333333
PRT,Portugal,2020,65.3
PRT,Portugal,2021,48.32857142857143
PRT,Portugal,2022,57.01666666666667
SVN,Slovenia,2019,73.74285714285715
SVN,Slovenia,2020,74.75714285714285
SVN,Slovenia,2021,69.02857142857142
SVN,Slovenia,2022,75.05714285714285
SWE,Sweden,2010,18.5
