Variable,Measure,COU,Country,Year,Value
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2006,74.2
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2007,81.5
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2008,82.9
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2009,85.8
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2010,87
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2011,87.9
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2012,88.8
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2013,90.4
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2014,91.3
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2015,88.9
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2016,85.5
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2017,87.7
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2018,87.6
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2019,85.9
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2020,92
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2006,87.9
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2007,89.2
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2008,90.9
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2009,89.3
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2010,88.4
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2011,88.2
