COU,Country,Year,health_performance_Value
CHL,Chile,2018,62
CHL,Chile,2019,67.75
CHL,Chile,2020,85.25
CHL,Chile,2021,88.25
EST,Estonia,2018,89.73333333
EST,Estonia,2019,89.53333333
EST,Estonia,2020,93.46666667
HUN,Hungary,2018,26.1
HUN,Hungary,2019,24.87142857
HUN,Hungary,2020,43.92857143
HUN,Hungary,2021,43.34285714
IRL,Ireland,2018,58.1
IRL,Ireland,2019,55.17142857
IRL,Ireland,2020,83.54285714
IRL,Ireland,2021,59.51428571
NZL,New Zealand,2018,20.55714286
NZL,New Zealand,2019,25.54285714
NZL,New Zealand,2020,28.87142857
NZL,New Zealand,2021,40.47142857
POL,Poland,2018,66.25
POL,Poland,2019,66.75
POL,Poland,2020,76
POL,Poland,2021,60.25
PRT,Portugal,2018,56.86666667
PRT,Portugal,2019,57.18333333
PRT,Portugal,2020,65.3
PRT,Portugal,2021,48.32857143
SVN,Slovenia,2019,73.74285714
SVN,Slovenia,2020,74.75714286
SVN,Slovenia,2021,69.02857143
SWE,Sweden,2018,19.4
SWE,Sweden,2019,25.3
SWE,Sweden,2020,34.96666667
SWE,Sweden,2021,41.75
GBR,United Kingdom,2018,32.12857143
GBR,United Kingdom,2019,33.15714286
GBR,United Kingdom,2020,39.88571429
