COU,Country,Variable,Year,Foreign_%_Value
AUS,Australia,% of foreign-trained doctors,2018,32.46
AUS,Australia,% of foreign-trained doctors,2019,32.543
AUS,Australia,% of foreign-trained doctors,2020,32.3
AUS,Australia,% of foreign-trained doctors,2021,32.19
AUT,Austria,% of foreign-trained doctors,2018,5.97
AUT,Austria,% of foreign-trained doctors,2019,6.37
AUT,Austria,% of foreign-trained doctors,2020,6.54
AUT,Austria,% of foreign-trained doctors,2021,6.82
BEL,Belgium,% of foreign-trained doctors,2018,12.11
BEL,Belgium,% of foreign-trained doctors,2019,12.42
BEL,Belgium,% of foreign-trained doctors,2020,12.7
BEL,Belgium,% of foreign-trained doctors,2021,13.22
CAN,Canada,% of foreign-trained doctors,2018,24.598
CAN,Canada,% of foreign-trained doctors,2019,24.418
CAN,Canada,% of foreign-trained doctors,2020,24.085
CAN,Canada,% of foreign-trained doctors,2021,24.035
CZE,Czechia,% of foreign-trained doctors,2018,7.35
CZE,Czechia,% of foreign-trained doctors,2019,7.38
CZE,Czechia,% of foreign-trained doctors,2020,7.48
CZE,Czechia,% of foreign-trained doctors,2021,7.59
DNK,Denmark,% of foreign-trained doctors,2018,9.37
DNK,Denmark,% of foreign-trained doctors,2019,9.46
DNK,Denmark,% of foreign-trained doctors,2020,9.53
FIN,Finland,% of foreign-trained doctors,2018,18.27
FIN,Finland,% of foreign-trained doctors,2019,18.69
FIN,Finland,% of foreign-trained doctors,2020,19.12
FIN,Finland,% of foreign-trained doctors,2021,19.5
FRA,France,% of foreign-trained doctors,2018,11.64
FRA,France,% of foreign-trained doctors,2019,11.81
FRA,France,% of foreign-trained doctors,2020,12.048
FRA,France,% of foreign-trained doctors,2021,12.327
DEU,Germany,% of foreign-trained doctors,2018,12.51
DEU,Germany,% of foreign-trained doctors,2019,13.14
DEU,Germany,% of foreign-trained doctors,2020,13.77
DEU,Germany,% of foreign-trained doctors,2021,13.78
CHL,Chile,% of foreign-trained doctors,2018,22.74
CHL,Chile,% of foreign-trained doctors,2019,20.82
CHL,Chile,% of foreign-trained doctors,2020,22.97
CHL,Chile,% of foreign-trained doctors,2021,23.39
HUN,Hungary,% of foreign-trained doctors,2018,8.09
HUN,Hungary,% of foreign-trained doctors,2019,8.205
HUN,Hungary,% of foreign-trained doctors,2020,8.18
HUN,Hungary,% of foreign-trained doctors,2021,8.187
NLD,Netherlands,% of foreign-trained doctors,2018,3.21
NLD,Netherlands,% of foreign-trained doctors,2019,3.583
NLD,Netherlands,% of foreign-trained doctors,2020,3.565
NLD,Netherlands,% of foreign-trained doctors,2021,3.613
