country,value_2018,value_2019,value_2020,value_2021
Australia,32.46,32.543,32.3,32.19
Austria,5.97,6.37,6.54,6.82
Belgium,12.11,12.42,12.7,13.22
Canada,24.598,24.418,24.085,24.035
Czechia,7.35,7.38,7.48,7.59
Denmark,9.37,9.46,9.53,19.5
Finland,18.27,18.69,19.12,12.327
France,11.64,11.81,12.048,13.78
Germany,12.51,13.14,13.77,8.187
Hungary,8.09,8.205,8.18,40.45
Ireland,41.64,41.35,40.19,3.613
Netherlands,3.21,3.583,3.565,42.12
New Zealand,42.46,42.59,42.39,42.1
Norway,40.086,40.806,41.264,2.69
Poland,1.94,2.09,2.23,38.44
Sweden,28.793,29.436,30.215,31.89
Switzerland,35.352,36.3,37.36,23.39
United Kingdom,29.23,30.34,30.76,4.16
Chile,22.74,20.82,22.97,57.82
Estonia,3.86,3.94,4.06,15.809
Israel,57.92,57.81,57.83,0.94
Slovenia,16.93,16.457,16.045,0.57
Italy,0.84,0.88,0.9,5.85
Lithuania,0.49,0.58,0.64,
Latvia,5.53,5.27,5.95,
Luxembourg,100,100,100,
Colombia,5.5,5.42,5.46,
