COU,Country,Variable,Year,Value
BEL,Belgium,% of foreign-trained doctors,2000,4.36
CAN,Canada,% of foreign-trained doctors,2000,21.27
CZE,Czechia,% of foreign-trained doctors,2000,1.32
DNK,Denmark,% of foreign-trained doctors,2000,3.83
FIN,Finland,% of foreign-trained doctors,2000,5.02
FRA,France,% of foreign-trained doctors,2000,3.908
DEU,Germany,% of foreign-trained doctors,2000,3.721
ISR,Israel,% of foreign-trained doctors,2000,64.45
ITA,Italy,% of foreign-trained doctors,2000,0.42
LUX,Luxembourg,% of foreign-trained doctors,2000,100
NZL,New Zealand,% of foreign-trained doctors,2000,37.98
SWE,Sweden,% of foreign-trained doctors,2000,13.959
TUR,Türkiye,% of foreign-trained doctors,2000,0.06
BEL,Belgium,% of foreign-trained doctors,2001,4.49
CAN,Canada,% of foreign-trained doctors,2001,21.26
CZE,Czechia,% of foreign-trained doctors,2001,1.49
DNK,Denmark,% of foreign-trained doctors,2001,3.89
FIN,Finland,% of foreign-trained doctors,2001,5.24
FRA,France,% of foreign-trained doctors,2001,4.327
DEU,Germany,% of foreign-trained doctors,2001,3.968
ISR,Israel,% of foreign-trained doctors,2001,64.3
ITA,Italy,% of foreign-trained doctors,2001,0.44
LUX,Luxembourg,% of foreign-trained doctors,2001,100
NLD,Netherlands,% of foreign-trained doctors,2001,1.775
NZL,New Zealand,% of foreign-trained doctors,2001,38.87
SWE,Sweden,% of foreign-trained doctors,2001,14.929
TUR,Türkiye,% of foreign-trained doctors,2001,0.13
BEL,Belgium,% of foreign-trained doctors,2002,4.56
CAN,Canada,% of foreign-trained doctors,2002,21.406
CZE,Czechia,% of foreign-trained doctors,2002,1.99
DNK,Denmark,% of foreign-trained doctors,2002,4.51
EST,Estonia,% of foreign-trained doctors,2002,0
FIN,Finland,% of foreign-trained doctors,2002,5.38
FRA,France,% of foreign-trained doctors,2002,4.794
DEU,Germany,% of foreign-trained doctors,2002,4.306
ISR,Israel,% of foreign-trained doctors,2002,64.17
ITA,Italy,% of foreign-trained doctors,2002,0.46
LUX,Luxembourg,% of foreign-trained doctors,2002,100
NLD,Netherlands,% of foreign-trained doctors,2002,1.887
NZL,New Zealand,% of foreign-trained doctors,2002,39.58
SWE,Sweden,% of foreign-trained doctors,2002,15.915
TUR,Türkiye,% of foreign-trained doctors,2002,0.17
BEL,Belgium,% of foreign-trained doctors,2003,4.65
CAN,Canada,% of foreign-trained doctors,2003,21.315
CZE,Czechia,% of foreign-trained doctors,2003,2.79
DNK,Denmark,% of foreign-trained doctors,2003,4.99
EST,Estonia,% of foreign-trained doctors,2003,0.03
FIN,Finland,% of foreign-trained doctors,2003,5.62
FRA,France,% of foreign-trained doctors,2003,5.17
